class,분류,코드,음 식 명,중량(g),에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),당류(g),칼슘(mg),인(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),,
367,절임류13,13-011-011,오이피클,50.00 ,54.00 ,14.64 ,0.30 ,0.15 ,333.60 ,1.99 ,15.08 ,4.06 ,27.32 ,-,0.50 ,0.05 ,0.00 ,0.00 ,,
368,절임류13,13-011-012,단무지,30.00 ,3.90 ,0.66 ,0.11 ,0.16 ,173.55 ,0.23 ,5.20 ,3.54 ,16.08 ,-,0.09 ,0.04 ,0.00 ,0.00 ,,
369,절임류13,13-012-001,오징어젓갈,10.00 ,6.83 ,0.29 ,1.24 ,0.10 ,179.11 ,0.00 ,2.40 ,17.60 ,27.04 ,2.07 ,0.07 ,0.11 ,13.68 ,0.00 ,,
370,절임류13,13-012-002,명란젓,10.00 ,12.00 ,0.27 ,2.05 ,0.30 ,353.10 ,0.00 ,2.80 ,24.90 ,41.00 ,0.00 ,0.12 ,0.20 ,35.00 ,0.00 ,,
371,회류14,14-011-001,생연어,100.00 ,110.29 ,1.00 ,20.91 ,1.94 ,213.06 ,0.00 ,26.91 ,249.04 ,349.60 ,0.80 ,1.26 ,0.56 ,60.00 ,0.00 ,,
372,회류14,14-011-002,생선물회,800.00 ,575.01 ,81.45 ,36.77 ,14.13 ,2986.23 ,29.37 ,267.85 ,499.47 ,1560.18 ,-,8.17 ,2.89 ,0.76 ,0.00 ,,
373,회류14,14-011-004,광어회 ,100.00 ,116.20 ,9.34 ,17.20 ,1.36 ,754.40 ,5.46 ,46.60 ,171.20 ,382.00 ,0.00 ,1.54 ,0.40 ,74.96 ,0.00 ,,
374,회류14,14-011-005,훈제연어,100.00 ,169.00 ,9.34 ,19.28 ,6.16 ,1260.80 ,5.46 ,20.20 ,200.00 ,218.80 ,0.00 ,0.90 ,0.61 ,141.60 ,0.00 ,,
375,회류14,14-012-001,육회,150.00 ,236.56 ,15.95 ,25.03 ,8.05 ,433.42 ,7.04 ,45.81 ,244.28 ,608.35 ,-,3.05 ,4.77 ,57.75 ,0.00 ,,
376,회류14,14-012-002,육사시미,150.00 ,203.55 ,6.96 ,29.28 ,6.08 ,888.03 ,4.10 ,30.15 ,252.00 ,541.80 ,0.00 ,7.95 ,3.64 ,63.45 ,0.00 ,,
377,떡류15,15-011-001,가래떡,100.00 ,205.04 ,45.05 ,3.52 ,0.33 ,254.68 ,0.00 ,2.46 ,77.00 ,90.53 ,0.00 ,0.22 ,0.83 ,0.00 ,0.00 ,,
378,떡류15,15-011-002,경단,100.00 ,303.79 ,67.04 ,6.58 ,0.54 ,186.36 ,0.00 ,17.87 ,109.13 ,99.27 ,0.00 ,1.57 ,1.40 ,0.00 ,0.00 ,,
379,떡류15,15-011-003,꿀떡,100.00 ,225.92 ,50.36 ,3.24 ,0.76 ,251.34 ,9.58 ,7.10 ,71.46 ,83.74 ,0.10 ,0.30 ,0.78 ,0.00 ,0.00 ,,
380,떡류15,15-011-004,시루떡,100.00 ,223.62 ,49.03 ,5.50 ,0.28 ,278.95 ,5.99 ,16.63 ,59.45 ,212.64 ,0.00 ,1.11 ,1.35 ,0.00 ,0.00 ,,
381,떡류15,15-011-005,메밀전병,100.00 ,166.14 ,24.82 ,5.79 ,5.50 ,340.66 ,0.00 ,37.04 ,137.63 ,274.49 ,69.82 ,1.41 ,0.97 ,0.00 ,0.00 ,,
382,떡류15,15-011-006,찰떡,100.00 ,216.19 ,44.88 ,5.81 ,1.24 ,236.82 ,5.50 ,15.19 ,83.83 ,151.40 ,9.89 ,1.61 ,1.51 ,0.00 ,0.00 ,,
383,떡류15,15-011-007,무지개떡,100.00 ,218.18 ,48.70 ,4.00 ,0.87 ,277.71 ,6.99 ,26.73 ,89.28 ,115.01 ,0.00 ,0.48 ,1.02 ,0.00 ,0.00 ,,
384,떡류15,15-011-008,백설기,100.00 ,218.82 ,48.20 ,4.04 ,0.79 ,296.95 ,11.99 ,10.82 ,78.99 ,96.90 ,4.20 ,0.55 ,0.75 ,0.00 ,0.00 ,,
385,떡류15,15-011-009,송편,100.00 ,234.90 ,46.82 ,4.17 ,2.70 ,236.55 ,1.52 ,45.98 ,77.16 ,67.89 ,19.97 ,1.13 ,0.57 ,0.00 ,0.00 ,,
386,떡류15,15-011-010,수수부꾸미,100.00 ,258.99 ,46.15 ,5.50 ,5.67 ,270.04 ,3.00 ,6.37 ,95.48 ,162.45 ,0.00 ,1.05 ,1.33 ,0.00 ,0.00 ,,
387,떡류15,15-011-011,수수팥떡,100.00 ,212.73 ,45.17 ,5.98 ,0.68 ,236.38 ,1.00 ,7.49 ,99.64 ,182.04 ,0.00 ,1.13 ,1.40 ,0.00 ,0.00 ,,
388,떡류15,15-011-012,쑥떡,100.00 ,238.06 ,54.64 ,4.53 ,0.45 ,256.15 ,9.99 ,65.20 ,65.55 ,343.62 ,17.50 ,1.59 ,0.55 ,0.00 ,0.00 ,,
389,떡류15,15-011-013,약식,100.00 ,232.21 ,48.88 ,3.83 ,2.27 ,290.64 ,7.99 ,12.89 ,79.74 ,142.12 ,12.11 ,2.53 ,1.30 ,0.16 ,0.00 ,,
390,떡류15,15-011-014,인절미,100.00 ,214.46 ,42.55 ,6.40 ,1.76 ,337.74 ,0.00 ,15.04 ,117.19 ,232.64 ,11.27 ,1.86 ,1.59 ,0.00 ,0.00 ,,
391,떡류15,15-011-015,절편,100.00 ,197.81 ,44.07 ,3.06 ,0.35 ,266.77 ,5.00 ,2.50 ,66.88 ,79.46 ,0.00 ,0.22 ,0.72 ,0.00 ,0.00 ,,
392,떡류15,15-011-016,증편,100.00 ,198.69 ,44.22 ,2.54 ,0.34 ,259.04 ,15.98 ,6.84 ,52.05 ,61.00 ,0.00 ,0.23 ,0.56 ,0.00 ,0.00 ,,
393,떡류15,15-011-017,찹쌀떡,100.00 ,264.74 ,62.08 ,3.41 ,0.23 ,226.38 ,13.99 ,15.68 ,71.71 ,86.78 ,7.71 ,1.46 ,1.13 ,0.00 ,0.00 ,,
394,한과류16,16-011-001,매작과,30.00 ,121.48 ,19.06 ,2.55 ,3.57 ,31.05 ,0.00 ,3.32 ,26.46 ,42.39 ,-,0.43 ,0.13 ,0.00 ,0.00 ,,
395,한과류16,16-011-002,다식,30.00 ,105.17 ,20.81 ,3.55 ,1.73 ,3.85 ,6.46 ,1.43 ,100.07 ,206.71 ,-,0.52 ,0.04 ,0.00 ,0.00 ,,
396,한과류16,16-011-003,약과,30.00 ,113.85 ,22.18 ,2.57 ,1.24 ,16.46 ,2.15 ,4.45 ,28.23 ,59.42 ,-,0.57 ,0.14 ,0.00 ,0.00 ,,
397,한과류16,16-011-004,유과,30.00 ,129.06 ,24.14 ,0.36 ,3.50 ,7.06 ,1.12 ,1.21 ,3.60 ,0.03 ,-,0.24 ,0.20 ,0.00 ,0.00 ,,
398,한과류16,16-011-005,산자,30.00 ,121.70 ,24.70 ,0.91 ,1.20 ,8.01 ,10.63 ,2.00 ,20.36 ,60.93 ,-,0.41 ,0.27 ,0.00 ,0.00 ,,
399,한과류16,16-011-006,깨강정,30.00 ,150.30 ,13.62 ,4.50 ,9.87 ,24.30 ,0.00 ,156.00 ,125.70 ,67.50 ,0.00 ,1.38 ,2.13 ,0.00 ,0.00 ,,
,,,,,,,,,,,,,,,,,,,,
