class,분류,코드,음 식 명,중량(g),에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),당류(g),칼슘(mg),인(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),,
73,면류02,02-011-015,비빔냉면,550.00 ,594.31 ,91.49 ,23.70 ,9.13 ,1530.57 ,2.00 ,64.99 ,1186.30 ,298.62 ,12.31 ,6.43 ,4.63 ,31.73 ,0.00 ,,
74,면류02,02-011-016,삼선우동,1000.00 ,692.26 ,89.20 ,56.17 ,10.53 ,2351.43 ,2.00 ,216.64 ,687.99 ,1528.00 ,68.74 ,11.29 ,5.47 ,640.68 ,0.00 ,,
75,면류02,02-011-017,삼선자장면,700.00 ,787.84 ,111.57 ,38.33 ,24.68 ,2791.11 ,2.00 ,143.37 ,493.95 ,850.27 ,41.70 ,6.67 ,3.56 ,162.24 ,0.00 ,,
76,면류02,02-011-018,삼선짬뽕,900.00 ,629.10 ,89.31 ,39.17 ,13.45 ,2825.66 ,3.00 ,172.14 ,509.60 ,1501.78 ,-,9.82 ,4.37 ,249.30 ,0.00 ,,
77,면류02,02-011-019,수제비,800.00 ,622.15 ,99.22 ,38.53 ,6.54 ,1669.32 ,0.00 ,1054.84 ,907.28 ,1892.55 ,46.05 ,11.10 ,4.71 ,209.00 ,0.00 ,,
78,면류02,02-011-020,쌀국수,600.00 ,321.34 ,46.20 ,21.85 ,5.81 ,2032.17 ,2.20 ,45.02 ,184.22 ,360.69 ,48.04 ,3.21 ,4.89 ,123.03 ,0.00 ,,
79,면류02,02-011-021,열무김치국수,800.00 ,488.32 ,81.61 ,21.94 ,8.22 ,2587.70 ,0.00 ,341.36 ,295.98 ,1125.83 ,1.15 ,4.45 ,1.73 ,45.14 ,0.00 ,,
80,면류02,02-011-023,오일소스스파게티,400.00 ,626.59 ,99.24 ,14.68 ,16.59 ,968.70 ,0.00 ,37.37 ,52.56 ,218.39 ,0.00 ,3.01 ,2.35 ,0.00 ,0.00 ,,
81,면류02,02-011-024,일식우동,700.00 ,420.79 ,81.23 ,16.94 ,1.74 ,1873.54 ,0.50 ,88.55 ,155.03 ,371.35 ,9.34 ,3.17 ,0.71 ,16.20 ,0.00 ,,
82,면류02,02-011-025,볶음우동,300.00 ,377.92 ,62.26 ,9.59 ,10.81 ,1461.31 ,0.91 ,50.25 ,93.80 ,637.56 ,5.73 ,2.07 ,1.02 ,0.00 ,0.00 ,,
83,면류02,02-011-027,자장면,650.00 ,760.88 ,134.29 ,15.74 ,23.16 ,2447.00 ,7.99 ,166.70 ,302.56 ,1013.84 ,37.46 ,5.33 ,1.41 ,3.08 ,0.00 ,,
84,면류02,02-011-028,잔치국수,700.00 ,564.23 ,104.67 ,20.26 ,6.23 ,1792.23 ,0.44 ,250.38 ,277.30 ,904.12 ,3.55 ,3.77 ,1.90 ,167.41 ,0.00 ,,
85,면류02,02-011-029,짬뽕,1000.00 ,650.31 ,118.54 ,25.53 ,13.53 ,3451.37 ,0.00 ,82.74 ,320.60 ,857.44 ,32.80 ,4.61 ,3.56 ,105.23 ,0.00 ,,
86,면류02,02-011-030,짬뽕라면,750.00 ,633.34 ,88.79 ,31.41 ,24.63 ,2380.93 ,0.00 ,127.96 ,393.28 ,1279.06 ,-,11.16 ,3.84 ,85.28 ,0.00 ,,
87,면류02,02-011-031,쫄면,450.00 ,622.42 ,110.85 ,12.36 ,6.93 ,1271.55 ,22.13 ,140.03 ,304.89 ,547.14 ,19.64 ,4.19 ,1.46 ,0.00 ,0.00 ,,
88,면류02,02-011-032,치즈라면,600.00 ,598.67 ,83.53 ,23.35 ,23.28 ,2425.97 ,0.00 ,152.41 ,367.79 ,652.33 ,-,3.06 ,2.99 ,302.20 ,0.00 ,,
89,면류02,02-011-033,콩국수,800.00 ,623.50 ,67.12 ,47.80 ,20.43 ,875.84 ,1.00 ,227.94 ,591.06 ,1343.71 ,0.00 ,8.58 ,5.33 ,0.00 ,0.00 ,,
90,면류02,02-011-034,크림소스스파게티,400.00 ,825.06 ,85.88 ,19.44 ,45.40 ,1025.21 ,0.00 ,233.33 ,333.99 ,916.21 ,-,3.26 ,2.55 ,140.15 ,0.00 ,,
91,면류02,02-011-035,토마토소스스파게티,500.00 ,642.18 ,102.07 ,20.22 ,17.37 ,1404.81 ,0.00 ,97.18 ,220.69 ,1651.30 ,-,5.09 ,3.39 ,12.65 ,0.00 ,,
92,면류02,02-011-036,해물칼국수,900.00 ,621.20 ,124.21 ,24.87 ,4.01 ,2195.05 ,0.00 ,150.05 ,332.51 ,887.22 ,-,10.54 ,2.12 ,156.77 ,0.00 ,,
93,면류02,02-011-037,회냉면,550.00 ,638.90 ,131.90 ,20.22 ,8.78 ,1524.28 ,22.73 ,122.05 ,306.79 ,1374.15 ,-,6.09 ,3.14 ,92.90 ,0.00 ,,
94,면류02,02-011-038,떡국,800.00 ,714.99 ,144.03 ,21.86 ,5.39 ,2019.28 ,0.00 ,222.52 ,362.35 ,610.40 ,-,4.52 ,4.13 ,90.80 ,0.00 ,,
95,면류02,02-011-039,떡만둣국,700.00 ,625.35 ,113.96 ,22.72 ,9.40 ,1999.12 ,0.00 ,150.65 ,289.74 ,949.86 ,-,3.76 ,3.24 ,298.81 ,0.00 ,,
96,면류02,02-011-040,짜장라면,250.00 ,409.38 ,63.78 ,12.01 ,14.85 ,1276.38 ,0.00 ,63.63 ,166.00 ,490.25 ,-,1.63 ,0.84 ,1.50 ,0.00 ,,
97,면류02,02-012-001,고기만두,250.00 ,454.39 ,55.33 ,18.66 ,18.25 ,888.80 ,0.00 ,121.64 ,234.64 ,767.34 ,-,4.19 ,3.09 ,21.00 ,0.00 ,,
98,면류02,02-012-002,군만두,250.00 ,684.42 ,76.17 ,19.77 ,31.18 ,983.70 ,0.00 ,53.38 ,281.62 ,595.03 ,-,4.85 ,2.66 ,36.00 ,0.00 ,,
99,면류02,02-012-003,김치만두,250.00 ,424.64 ,60.79 ,18.43 ,13.10 ,961.97 ,0.00 ,91.73 ,271.18 ,1181.77 ,-,5.54 ,2.82 ,20.28 ,0.00 ,,
100,면류02,02-012-004,물만두,120.00 ,158.05 ,20.48 ,5.86 ,5.84 ,269.52 ,0.00 ,27.60 ,81.86 ,259.71 ,-,1.42 ,0.79 ,7.59 ,0.00 ,,
101,면류02,02-012-005,만둣국,700.00 ,432.62 ,53.28 ,19.24 ,14.92 ,2356.67 ,0.00 ,163.29 ,300.75 ,1202.84 ,-,5.03 ,2.14 ,94.22 ,0.00 ,,
102,죽류03,03-011-001,게살죽,800.00 ,554.24 ,103.59 ,18.15 ,7.63 ,1533.96 ,0.00 ,160.00 ,235.91 ,857.06 ,-,7.49 ,3.30 ,40.87 ,0.00 ,,
103,죽류03,03-011-002,깨죽,800.00 ,505.68 ,71.13 ,13.43 ,18.94 ,1212.27 ,0.00 ,407.88 ,262.36 ,186.59 ,-,6.32 ,5.07 ,0.00 ,0.00 ,,
104,죽류03,03-011-003,닭죽,1000.00 ,1181.71 ,92.53 ,75.93 ,48.18 ,789.79 ,0.00 ,116.55 ,584.82 ,1290.97 ,-,9.84 ,5.55 ,271.44 ,0.00 ,,
105,죽류03,03-011-004,소고기버섯죽,800.00 ,573.24 ,102.93 ,20.52 ,6.46 ,1263.62 ,0.00 ,31.25 ,288.76 ,504.51 ,-,2.20 ,4.33 ,29.32 ,0.00 ,,
106,죽류03,03-011-005,어죽,800.00 ,559.27 ,90.47 ,15.53 ,6.08 ,1621.29 ,0.00 ,368.79 ,369.06 ,450.21 ,-,4.83 ,3.13 ,75.77 ,0.00 ,,
107,죽류03,03-011-006,잣죽,700.00 ,872.61 ,153.79 ,15.79 ,20.29 ,850.63 ,0.00 ,15.33 ,196.78 ,296.54 ,-,4.23 ,4.52 ,0.00 ,0.00 ,,
108,죽류03,03-011-007,전복죽,800.00 ,587.29 ,105.04 ,14.57 ,11.45 ,1423.93 ,0.00 ,75.23 ,269.71 ,405.90 ,-,2.32 ,2.53 ,45.15 ,0.00 ,,
109,죽류03,03-011-008,참치죽,800.00 ,658.46 ,105.94 ,26.08 ,13.85 ,1264.15 ,0.00 ,63.78 ,341.28 ,851.65 ,-,4.98 ,2.54 ,40.76 ,0.00 ,,
110,죽류03,03-011-009,채소죽,800.00 ,514.83 ,100.80 ,11.89 ,5.13 ,1211.63 ,0.00 ,227.26 ,290.18 ,1377.63 ,-,2.73 ,2.51 ,24.29 ,0.00 ,,
111,죽류03,03-011-010,팥죽,600.00 ,482.65 ,100.74 ,20.59 ,0.56 ,1026.11 ,4.79 ,91.00 ,76.74 ,940.82 ,-,6.03 ,5.15 ,0.00 ,0.00 ,,
112,죽류03,03-011-011,호박죽,600.00 ,430.33 ,111.41 ,8.11 ,0.72 ,911.72 ,25.78 ,18.17 ,165.36 ,1858.90 ,-,1.98 ,2.58 ,0.00 ,0.00 ,,
